strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,136,4228,0.35241248817407755,0.44609002537815157,-0.0832854532125668,352.2024481759463,-13.896454764638271,-352.13089618273244,20,,,1.0,,0.003,0.002,45
donchian_breakout,137,4498,0.37572254335260113,0.4442872765697586,-0.08343269412640383,375.50349747856524,-15.446436755266545,-375.28025818056443,10,,,1.2,,0.003,0.003,30
donchian_breakout,138,4042,0.2825333993072736,0.44111972279828227,-0.08250309715274975,333.51733074385027,-10.12156731834186,-333.4775186914145,20,,,1.2,,0.006,0.003,20
donchian_breakout,139,4066,0.2752090506640433,0.43956838147090466,-0.08061728743368876,327.8297027578147,-2.5108950634038845,-327.7898907053785,20,,,1.2,,0.006,0.0025,20
donchian_breakout,140,4827,0.3739382639320489,0.4379033422919399,-0.0845379227891139,408.28779260105466,-21.913318630504964,-408.0645533030528,10,,,1.0,,0.003,0.003,30
donchian_breakout,141,3808,0.36160714285714285,0.4378492563755243,-0.082511616332921,314.4274742937621,-9.56806222065147,-314.2042349957632,30,,,1.2,,0.003,0.0025,30
donchian_breakout,142,4491,0.2845691382765531,0.43768106467412204,-0.08249896912021337,370.5426823713147,-11.227361263383624,-370.50287031887825,10,,,1.2,,0.006,0.003,20
donchian_breakout,143,4245,0.2817432273262662,0.4370498551598538,-0.08266413920120595,350.94908296155506,-11.313796427690308,-350.90927090911924,20,,,1.0,,0.006,0.003,20
donchian_breakout,144,4055,0.37139334155363746,0.4366807954197577,-0.08518458388609934,345.64336765813624,-21.031900418300136,-345.42348765813284,10,,,1.5,,0.003,0.003,30
donchian_breakout,145,3779,0.37232071976713416,0.43651968469062985,-0.08536231064435577,322.8074112230192,-20.272280837355396,-322.5841719250205,30,,,1.2,,0.003,0.003,30
donchian_breakout,146,3701,0.2799243447716833,0.43637259178721133,-0.08390185787752479,310.56058805715406,-14.446554626569837,-310.5207760047192,30,,,1.2,,0.006,0.003,20
